block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,Intro,LsibuBlack,circleBlack,RalexBlack,none,left,0,,black-background,FAM
1,1,Blocks_Find,LOutlinedsibuBlack,circleBlack,RalexBlack,sibu,left,0,,black-background,FAM
1,2,Doll_Where,LsibuBlack,circleBlack,ROutlinedalexBlack,alex,right,1,,black-background,FAM
1,3,apple_look,LOutlinedsibuBlack,ApplecircleBlack,RalexBlack,toothbrushSibu,left,0,,black-background,FAM
1,4,apple_find,LsibuBlack,ApplecircleBlack,ROutlinedalexBlack,toothbrushAlex,right,1,,black-background,FAM
1,5,crayon_look,LOutlinedsibuBlack,TruckcircleBlack,RalexBlack,truckSibu,left,0,,black-background,FAM
1,6,crayon_where,LsibuBlack,TruckcircleBlack,ROutlinedalexBlack,truckAlex,right,1,,black-background,FAM
1,7,ball_find,LOutlinedsibuBlack,BallcircleBlack,RalexBlack,ballSibu,left,0,,black-background,FAM
1,8,ball_look,LsibuBlack,BallcircleBlack,ROutlinedalexBlack,ballAlex,right,1,,black-background,FAM
1,9,toothbrush_look,LOutlinedsibuBlack,ShoecircleBlack,RalexBlack,shoeSibu,left,0,,black-background,FAM
1,10,toothbrush_where,LsibuBlack,ShoecircleBlack,ROutlinedalexBlack,shoeAlex,right,1,,black-background,FAM
2,11,truck_find,TrucksquareBlack,BallsquareBlack,Black,truck,left,0,,black-background,LWL
2,12,apple_where,ApplesquareBlack,ShoesquareBlack,Black,apple,left,0,,black-background,LWL
2,13,crayon_find,BallsquareBlack,TrucksquareBlack,Black,ball,left,0,,black-background,LWL
2,14,toothbrush_find,ShoesquareBlack,ApplesquareBlack,Black,shoe,left,0,,black-background,LWL
2,15,check_out,LbeachBlack,RbeachBlack,Black,AG,left,0,,black-background,LWL
3,16,Leem_Look,LOutlinedsibuBlack,n1circleBlack,RalexBlack,leem,left,0,,black-background,FAM
3,17,Fote_Look,LsibuBlack,n1circleBlack,ROutlinedalexBlack,fote,right,1,,black-background,FAM
3,18,Pizer_Look,LOutlinedsibuBlack,n2circleBlack,RalexBlack,pizer,left,0,,black-background,FAM
3,19,Regli_Look,LsibuBlack,n2circleBlack,ROutlinedalexBlack,regli,right,1,,black-background,FAM
3,20,teebu_see,LOutlinedsibuBlack,n3circleBlack,RalexBlack,teebu,left,0,,black-background,FAM
3,21,Raydo_See,LsibuBlack,n3circleBlack,ROutlinedalexBlack,raydo,right,1,,black-background,FAM
3,22,modie_look,LOutlinedsibuBlack,n4circleBlack,RalexBlack,modie,left,0,,black-background,FAM
3,23,koovuh_see,LsibuBlack,n4circleBlack,ROutlinedalexBlack,koovuh,right,1,,black-background,FAM
4,24,Leem_Find,n1squareBlack,n3squareBlack,Black,leem,left,0,,black-background,LWL
4,25,Pizer_Find,n2squareBlack,n4squareBlack,Black,pizer,left,0,,black-background,LWL
4,26,modie_find,n4squareBlack,n1squareBlack,Black,modie,left,0,,black-background,LWL
4,27,raydo_where,n3squareBlack,n2squareBlack,Black,raydo,left,0,,black-background,LWL
4,28,Fote_Where,n1squareBlack,n3squareBlack,Black,fote,left,0,,black-background,LWL
4,29,Regli_Where,n2squareBlack,n4squareBlack,Black,regli,left,0,,black-background,LWL
4,30,koovuh_where,n4squareBlack,n1squareBlack,Black,koovuh,left,0,,black-background,LWL
4,31,teebu_find,n3squareBlack,n2squareBlack,Black,teebu,left,0,,black-background,LWL
4,32,check_out,beach_left,beach_right,Black,AG,left,0,,black-background,LWL
5,33,Leem_Look,LOutlinedsibuBlack,n5circleBlack,RalexBlack,leem,left,0,,black-background,FAM
5,34,Fote_Look,LsibuBlack,n5circleBlack,ROutlinedalexBlack,fote,right,1,,black-background,FAM
5,35,Pizer_Look,LOutlinedsibuBlack,n6circleBlack,RalexBlack,pizer,left,0,,black-background,FAM
5,36,Regli_Look,LsibuBlack,n6circleBlack,ROutlinedalexBlack,regli,right,1,,black-background,FAM
5,37,teebu_see,LOutlinedsibuBlack,n7circleBlack,RalexBlack,teebu,left,0,,black-background,FAM
5,38,Raydo_See,LsibuBlack,n7circleBlack,ROutlinedalexBlack,raydo,right,1,,black-background,FAM
5,39,modie_look,LOutlinedsibuBlack,n8circleBlack,RalexBlack,modie,left,0,,black-background,FAM
5,40,koovuh_see,LsibuBlack,n8circleBlack,ROutlinedalexBlack,koovuh,right,1,,black-background,FAM
6,41,Leem_Find,n5squareBlack,n7squareBlack,Black,leem,left,0,,black-background,LWL
6,42,Pizer_Find,n6squareBlack,n8squareBlack,Black,pizer,left,0,,black-background,LWL
6,43,modie_find,n8squareBlack,n5squareBlack,Black,modie,left,0,,black-background,LWL
6,44,raydo_where,n7squareBlack,n6squareBlack,Black,raydo,left,0,,black-background,LWL
6,45,Fote_Where,n5squareBlack,n7squareBlack,Black,fote,left,0,,black-background,LWL
6,46,Regli_Where,n6squareBlack,n8squareBlack,Black,regli,left,0,,black-background,LWL
6,47,koovuh_where,n8squareBlack,n5squareBlack,Black,koovuh,left,0,,black-background,LWL
6,48,teebu_find,n7squareBlack,n6squareBlack,Black,teebu,left,0,,black-background,LWL
6,49,End,LoceanBlack,RoceanBlack,Black,AG,left,0,,black-background,LWL
